Comment,Designator,Footprint,LCSC,Digikey/Farnell,Amount,Price,Total
PJ-307C,"J1, J2",Tweezer audio jack,C16684,CP1-3525N-ND,2,0.565,1.13
09-9792-20-05,,Tweezer connector,,2949793,1,6.63,6.63
T0054465299N,,RTW2 TWEEZER CARTRIDGE,,2628917,1,53,53
6 core cable,,6 core cable,,T1421-1-ND,1,2.74,2.74
PS000129,,Audio connector stereo male straight,,2910974,2,1.24,2.48
WKLS 40,,Audio connector stereo male angled,,1243268,2,1.72,3.44
,,,,,,,69.42
TIP,,,,,,,
T0054460199N,,TIP RT1 NEEDLE TIP,,2628906,1,21.2,21.2
5 core cable,,5 core cable,,1852469,1,3.85,3.85
WKLS 40,,Audio connector stereo male angled,,1243268,1,1.72,1.72
NYS240BG,,Audio connector stereo female,,1390177,1,1.8,1.8
,,,,,,,28.57
